designation;reference;url_product;Fournisseur
Pomme Goldrush BIO origine France Fruits et Légumes de ma Région;201710;/produits/pomme-goldrush-bio-origine-france-fruits-et-legumes-ma-region-0201710;Pomona TerreAzur
Pomme Opal calibre 170/200 catégorie 1 BIO origine France Fruits et Légumes de ma Région;193821;/produits/pomme-opal-calibre-170200-categorie-1-bio-origine-france-fruits-et-legumes-ma-region-0193821;Pomona TerreAzur
Raisin blanc Chasselas 8 kg catégorie 1 AOP origine France Fruits et Légumes de ma Région Moissac;192506;/produits/raisin-blanc-chasselas-8-kg-categorie-1-aop-origine-france-fruits-et-legumes-ma-region-moissac-0192506;Pomona TerreAzur
Pomme Braeburn calibre 150/180 catégorie 1 origine France HVE;230870;/produits/pomme-braeburn-calibre-150180-categorie-1-origine-france-hve-0230870;Pomona TerreAzur
Pomme Story LOLIPOP® Inored calibre 95/130 sachet 2 kg catégorie 1 origine France CE2;242441;/produits/pomme-story-lolipopr-inored-calibre-95130-sachet-2-kg-categorie-1-origine-france-ce2-0242441;Pomona TerreAzur
Pomme Braeburn calibre 170/200 catégorie 1 HVE origine France Fruits et Légumes de ma Région;242990;/produits/pomme-braeburn-calibre-170200-categorie-1-hve-origine-france-fruits-et-legumes-ma-region-0242990;Pomona TerreAzur
Orange Naveline calibre 7 100 fruits catégorie 1 origine Espagne IGP;235013;/produits/orange-naveline-calibre-7-100-fruits-categorie-1-origine-espagne-igp-0235013;Pomona TerreAzur
Abricot calibre 40/45 catégorie 2 origine Espagne BIO;243563;/produits/abricot-calibre-4045-categorie-2-origine-espagne-bio-0243563;Pomona TerreAzur
Pomme Ladina ~13 kg origine France BIO;234990;/produits/pomme-ladina-13-kg-origine-france-bio-0234990;Pomona TerreAzur
Pomme Dalinette calibre 115/135 catégorie 2 conversion BIO origine France Fruits et Légumes de ma Région;242732;/produits/pomme-dalinette-calibre-115135-categorie-2-conversion-bio-origine-france-fruits-et-legumes-ma-region-0242732;Pomona TerreAzur
Pêche plate blanche calibre A 67/73 4 kg catégorie 2 origine France BIO;207465;/produits/peche-plate-blanche-calibre-6773-4-kg-categorie-2-origine-france-bio-0207465;Pomona TerreAzur
Pomme Story LOLIPOP® Inored calibre 136/165 catégorie 2 BIO origine France Fruits et Légumes de ma Région;230770;/produits/pomme-story-lolipopr-inored-calibre-136165-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0230770;Pomona TerreAzur
Poire Conférence calibre 60/65 24 fruits catégorie 2 origine Espagne BIO;234416;/produits/poire-conference-calibre-6065-24-fruits-categorie-2-origine-espagne-bio-0234416;Pomona TerreAzur
Pomme Akane origine France BIO;208590;/produits/pomme-akane-origine-france-bio-0208590;Pomona TerreAzur
Pomme Story LOLIPOP® Inored calibre 115/135 catégorie 2 BIO origine France Fruits et Légumes de ma Région;231568;/produits/pomme-story-lolipopr-inored-calibre-115135-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0231568;Pomona TerreAzur
Pomme Opal calibre 95/115 catégorie 2 conversion BIO origine France Fruits et Légumes de ma Région;232040;/produits/pomme-opal-calibre-95115-categorie-2-conversion-bio-origine-france-fruits-et-legumes-ma-region-0232040;Pomona TerreAzur
Orange Newhall calibre 2 catégorie 1 origine Portugal IGP;236740;/produits/orange-newhall-calibre-2-categorie-1-origine-portugal-igp-0236740;Pomona TerreAzur
Pomme Golden Delicious du Limousin calibre 115/135 catégorie 1 origine France AOP;235310;/produits/pomme-golden-delicious-limousin-calibre-115135-categorie-1-origine-france-aop-0235310;Pomona TerreAzur
Poire Williams verte prêt à déguster calibre 60/65 catégorie 1 origine France HVE;231900;/produits/poire-williams-verte-pret-deguster-calibre-6065-categorie-1-origine-france-hve-0231900;Pomona TerreAzur
Pomme Story LOLIPOP® Inored calibre 150/180 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;243361;/produits/pomme-story-lolipopr-inored-calibre-150180-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0243361;Pomona TerreAzur
Orange Naveline calibre 6/7 2 kg catégorie 1 origine Espagne Pamela;210921;/produits/orange-naveline-calibre-67-2-kg-categorie-1-origine-espagne-pamela-0210921;Pomona TerreAzur
Pomme Golden calibre 190/220 catégorie 1 origine France HVE;238320;/produits/pomme-golden-calibre-190220-categorie-1-origine-france-hve-0238320;Pomona TerreAzur
Pomme Golden-Gala calibre 136/165 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250548;/produits/pomme-golden-gala-calibre-136165-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250548;Pomona TerreAzur
Kiwi calibre 95/105 g barquette 6 fruits catégorie 1 origine France Label Rouge;249984;/produits/kiwi-calibre-95105-g-barquette-6-fruits-categorie-1-origine-france-label-rouge-0249984;Pomona TerreAzur
Pomme Jonagored calibre 115/135 catégorie 1 BIO origine France Fruits et Légumes de ma Région;250292;/produits/pomme-jonagored-calibre-115135-categorie-1-bio-origine-france-fruits-et-legumes-ma-region-0250292;Pomona TerreAzur
Pomme Cardinal calibre 80/115 catégorie 1 origine France CE2;250191;/produits/pomme-cardinal-calibre-80115-categorie-1-origine-france-ce2-0250191;Pomona TerreAzur
Combava barquette 1 kg origine France Corse;252706;/produits/combava-barquette-1-kg-origine-france-corse-0252706;Pomona TerreAzur
Pomme Story LOLIPOP® Inored calibre 136/165 catégorie 2 BIO origine France Fruits et Légumes de ma Région;252188;/produits/pomme-story-lolipopr-inored-calibre-136165-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0252188;Pomona TerreAzur
Poire Rocha calibre 65/70 catégorie 1 origine Portugal AOP;252838;/produits/poire-rocha-calibre-6570-categorie-1-origine-portugal-aop-0252838;Pomona TerreAzur
Pomme Gala calibre 95/130 sachet 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;253096;/produits/pomme-gala-calibre-95130-sachet-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0253096;Pomona TerreAzur
Pomme Clochard calibre 201/240 catégorie 1 origine France HVE 100% Experts terroirs;250967;/produits/pomme-clochard-calibre-201240-categorie-1-origine-france-hve-100-experts-terroirs-0250967;Pomona TerreAzur
Poire Doyenné du Comice affinée calibre 75/80 catégorie 1 origine France BIO;253554;/produits/poire-doyenne-comice-affinee-calibre-7580-categorie-1-origine-france-bio-0253554;Pomona TerreAzur
Pomme Kissabel calibre 150/180 catégorie 1 origine France CE2;253218;/produits/pomme-kissabel-calibre-150180-categorie-1-origine-france-ce2-0253218;Pomona TerreAzur
Pomme Dalinsweet calibre 95/135 catégorie 2 BIO origine France Fruits et Légumes de ma Région;262557;/produits/pomme-dalinsweet-calibre-95135-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0262557;Pomona TerreAzur
Pomme Fuji calibre 136/165 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;253093;/produits/pomme-fuji-calibre-136165-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0253093;Pomona TerreAzur
Pomme Pilot calibre 95/135 catégorie 2 BIO origine France Fruits et Légumes de ma Région;253794;/produits/pomme-pilot-calibre-95135-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0253794;Pomona TerreAzur
Combava colis 1 kg origine France Fruits et Légumes de ma Région;251675;/produits/combava-colis-1-kg-origine-france-fruits-et-legumes-ma-region-0251675;Pomona TerreAzur
Pomme Granny Smith calibre 190/220 catégorie 1 origine France HVE 100% Experts Terroirs;250929;/produits/pomme-granny-smith-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250929;Pomona TerreAzur
Pomme Fuji calibre 136/165 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250117;/produits/pomme-fuji-calibre-136165-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250117;Pomona TerreAzur
Pomme Golden calibre 136/200 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250087;/produits/pomme-golden-calibre-136200-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250087;Pomona TerreAzur
Pomme RUBINETTE® Rafzubin calibre 150/180 catégorie 1 origine France HVE;251766;/produits/pomme-rubinetter-rafzubin-calibre-150180-categorie-1-origine-france-hve-0251766;Pomona TerreAzur
Figue fraiche noire de Solliès ~2 kg catégorie 1 AOP origine France Fruits et Légumes de ma Région;251357;/produits/figue-fraiche-noire-sollies-2-kg-categorie-1-aop-origine-france-fruits-et-legumes-ma-region-0251357;Pomona TerreAzur
Pomme Reine des Reinettes calibre 190/220 catégorie 1 origine France HVE 100% Experts terroirs;250942;/produits/pomme-reine-reinettes-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250942;Pomona TerreAzur
Pomme Crimson calibre 115/135 catégorie 2 BIO origine France Fruits et Légumes de ma Région;251368;/produits/pomme-crimson-calibre-115135-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0251368;Pomona TerreAzur
Pomme Gala calibre 190/220 catégorie 1 origine France HVE 100% Experts terroirs;250938;/produits/pomme-gala-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250938;Pomona TerreAzur
Pomme Reine des Reinettes calibre 150/180 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;251424;/produits/pomme-reine-reinettes-calibre-150180-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0251424;Pomona TerreAzur
Kiwi calibre 80/85 g colis 10 kg 120 fruits catégorie 2 origine France BIO;119847;/produits/kiwi-calibre-8085-g-colis-10-kg-120-fruits-categorie-2-origine-france-bio-0119847;Pomona TerreAzur
Kiwi calibre 80/85 g barquette 6 fruits catégorie 2 origine France BIO;119988;/produits/kiwi-calibre-8085-g-barquette-6-fruits-categorie-2-origine-france-bio-0119988;Pomona TerreAzur
Pomme Fuji calibre 115/150 sachet 2 kg catégorie 1 origine France CE2;126781;/produits/pomme-fuji-calibre-115150-sachet-2-kg-categorie-1-origine-france-ce2-0126781;Pomona TerreAzur
