designation;reference;url_product;Fournisseur
STRACCIATELLA;82485;/Promotions/Stracciatella/p/000000000000082485;Sysco
LAMELLE DE KEBAB VOLAILLE RÔTIE HALAL;74743;/Promotions/Lamelle-de-kebab-volaille-rotie-Halal/p/000000000000074743;Sysco
BABA BOUCHON AU RHUM;77591;/Les-produits/Les-desserts/Les-desserts-individuels/Les-gateaux-et-entremets/Les-gateaux-et-entremets/Baba-bouchon-au-rhum/p/000000000000077591;Sysco
CRÈME ANGLAISE UHT;81235;/Promotions/Creme-anglaise-UHT/p/000000000000081235;Sysco
TRANCHE DE CHEDDAR MILD ROUGE;81101;/Les-produits/La-cremerie/Les-bases-d-assemblage/Les-fromages-pour-sandwich-et-burger/Les-fromages-pour-sandwich-et-burger/Tranche-de-cheddar-mild-rouge/p/000000000000081101;Sysco
DÉS DE FETA AOP;81782;/Promotions/Des-de-feta-AOP/p/000000000000081782;Sysco
SAUCISSE FUMÉE À CUIRE QUALITÉ SUPÉRIEURE VPF;48105;/Promotions/Saucisse-fumee-a-cuire-qualite-superieure-VPF/p/000000000000048105;Sysco
POMME RÖSTI;71746;/Produits/Pomme-rosti/p/000000000000071746;Sysco
CRÈME GLACÉE CHOCOLAT;77042;/Promotions/Creme-glacee-chocolat/p/000000000000077042;Sysco
CRÈME ANGLAISE UHT;47301;/Promotions/Creme-anglaise-UHT/p/000000000000047301;Sysco
SAINT-MARCELLIN NU IGP;82960;/Les-produits/La-cremerie/Les-fromages-a-la-coupe-et-a-la-piece/Les-fromages-a-pate-molle-et-croute-fleurie/A-la-piece/Saint-marcellin-nu-IGP/p/000000000000082960;Sysco
FISH'N CHIPS DE CABILLAUD;77894;/Produits/Fish-n-chips-de-cabillaud/p/000000000000077894;Sysco
LÉGUMES POUR POTAGE;38900;/Promotions/Legumes-pour-potage/p/000000000000038900;Sysco
MOZZARELLA STICKS;70031;/Promotions/Mozzarella-sticks/p/000000000000070031;Sysco
TRANCHE DE CHEDDAR FONDU;83007;/Produits/Tranche-de-cheddar-fondu/p/000000000000083007;Sysco
GRATIN DAUPHINOIS À LA CRÈME FRAÎCHE;42521;/Produits/Gratin-dauphinois-a-la-creme-fraiche/p/000000000000042521;Sysco
ONGLET DE BOEUF;41511;/Promotions/Onglet-de-boeuf/p/000000000000041511;Sysco
CRÈME GLACÉE À LA VANILLE DE MADAGASCAR;77032;/Promotions/Creme-glacee-a-la-vanille-de-Madagascar/p/000000000000077032;Sysco
FOND BRUN LIÉ DÉSHYDRATÉ;19238;/Les-produits/L-epicerie/Les-epices--aromates--sauces-et-condiments/Les-fonds--fumets--jus-et-bouillons/Les-deshydrates/Fond-brun-lie-deshydrate/p/000000000000019238;Sysco
POUDRE D'AMANDE BLANCHIE;14889;/Promotions/Poudre-d-amande-blanchie/p/000000000000014889;Sysco
